,This study,,Journal paper,,Journal paper,,Journal paper,,Nopol website,,Nopol website,,Nopol website,
,Prob All Mut,Number of failed held-out TC,GenProg,Number of failed held-out TC,TRP,Number of failed held-out TC,PAR,Number of failed held-out TC,NopolPC May2015,Pass Held Out Test Suite,NopolC May 2015,Pass Held Out Test Suite,Nopol March 2017,Number of failed held-out TC
Math 85,No patch found,,math85_Seed10_r_35_32_patch.diff,1,math85_Seed16_r_36_16_patch.diff,1,math85_Seed14_ExpressionAdd_34_variant12patch.diff,1,,,,,https://github.com/Spirals-Team/defects4j-repair/tree/master/results/2017-march#math-85,1
,,,math85_Seed13_r_35_29_patch.diff,1,math85_Seed1_d_36_patch.diff,1,math85_Seed1_ExpressionReplace_34_variant27patch.diff,1,,,,,,
,,,math85_Seed1_d_34_patch.diff,1,math85_Seed9_d_34_patch.diff,1,math85_Seed20_ExpressionAdd_34_variant24patch.diff,1,,,,,,
,,,math85_Seed3_r_35_19_patch.diff,1,,,math85_Seed2_ExpressionReplace_34_variant73patch.diff,1,,,,,,
,,,math85_Seed4_d_35_patch.diff,1,,,math85_Seed3_ExpressionReplace_34_variant24patch.diff,1,,,,,,
,,,math85_Seed5_r_34_32_patch.diff,1,,,math85_Seed4_ExpressionAdd_34_variant30patch.diff,1,,,,,,
,,,math85_Seed6_d_36_patch.diff,1,,,math85_Seed7_ExpressionReplace_34_variant3patch.diff,1,,,,,,
,,,math85_Seed9_r_34_33_patch.diff,1,,,math85_Seed8_ExpressionReplace_34_variant1patch.diff,1,,,,,,
Math 105,No patch found,,No patch found,,No patch found,,No patch found,,,,,,https://github.com/Spirals-Team/defects4j-repair/tree/master/results/2017-march#math-105,1
Time 4,No patch found,,No patch found,,No patch found,,No patch found,,,,,,https://github.com/Spirals-Team/defects4j-repair/tree/master/results/2017-march#time-4,1
Time 16,No patch found,,No patch found,,No patch found,,No patch found,,,,,,https://github.com/Spirals-Team/defects4j-repair/tree/master/results/2017-march#time-16,0
